address,exhibit_url,registration_number,country_name,state,foreign_principal,date,registration_date,url,registration
L.G. Smith Blvd. 76,http://www.fara.gov/docs/5965-Exhibit-AB-20091215-1.pdf,5965,ARUBA,,Government of Aruba,12/15/2009,12/15/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5965,Exhibit%20AB,ARUBA","Hills Stern & Morley, LLP"
Sydney  ,http://www.fara.gov/docs/2987-Exhibit-AB-19781201-D0EE2403.pdf,4450,AUSTRALIA,,New South Wales Tourism Commission (Government of New South Wales),12/18/1990,12/18/1990,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4450,Exhibit%20AB,AUSTRALIA",Destination New South Wales
Oranjestad  ,http://www.fara.gov/docs/2987-Exhibit-AB-19781201-D0EE2403.pdf,2987,ARUBA,,Government of Aruba,12/29/1978,12/29/1978,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2987,Exhibit%20AB,ARUBA",Aruba Tourism Authority
Vienna  ,http://www.fara.gov/docs/2987-Exhibit-AB-19781201-D0EE2403.pdf,5041,AUSTRIA,,Federal Economic Chamber of Austria (Wirtschftskammer Oesterreichs),08/17/1995,08/17/1995,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5041,Exhibit%20AB,AUSTRIA","Austrian Trade Commission in the U.S., Southern Region"
Wiedner Hauptstrasse 63,http://www.fara.gov/docs/6193-Exhibit-AB-20131104-1.pdf,6193,AUSTRIA,,Advantage Austria at the Austrian Federal Economic Chamber (WKO),11/04/2013,11/04/2013,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6193,Exhibit%20AB,AUSTRIA","Austrian Trade Commission, Chicago"
35 Masherova Avenue,http://www.fara.gov/docs/5712-Exhibit-AB-20150731-22.pdf,5712,AZERBAIJAN,,Open Joint Stock Company Belarusian Potash Company (OJSC BPC),07/31/2015,10/03/2005,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5712,Exhibit%20AB,BELARUS","Greenberg Traurig, LLP"
11766 Wilshire Boulevard,http://www.fara.gov/docs/5712-Exhibit-AB-20150731-22.pdf,5916,AZERBAIJAN,CA,Consulate General of the Republic of Azerbaijan,03/09/2009,03/09/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5916,Exhibit%20AB,AZERBAIJAN","Tool Shed Group, LLC"
Nassau  ,http://www.fara.gov/docs/5712-Exhibit-AB-20150731-22.pdf,2310,BAHAMAS,,Bahamas Ministry of Tourism,01/27/1972,01/27/1972,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2310,Exhibit%20AB,BAHAMAS",Bahamas Tourist Office
"2741 34th Street, NW",http://www.fara.gov/docs/5926-Exhibit-AB-20130131-23.pdf,5926,AZERBAIJAN,DC,Embassy of the Republic of Azerbaijan,01/31/2013,04/01/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5926,Exhibit%20AB,AZERBAIJAN","Podesta Group, Inc."
"3502 International Drive, NW",http://www.fara.gov/docs/2244-Exhibit-AB-19770601-CZDFSI02.pdf,5483,BAHRAIN,DC,"Kingdom of Bahrain, Embassy",08/06/2010,03/06/2002,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5483,Exhibit%20AB,BAHRAIN","MSLGROUP Americas, Inc."
"1319 18th Street, NW",http://www.fara.gov/docs/5712-Exhibit-AB-20150731-22.pdf,6065,AZERBAIJAN,DC,"SOCAR USA, subsidiary of State Oil Company of Azerbaijan Republic (SOCAR)",07/28/2013,09/23/2011,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6065,Exhibit%20AB,AZERBAIJAN","Roberti + White, LLC"
Ministry of Foreign Affairs P.O. Box 547,http://www.fara.gov/docs/2244-Exhibit-AB-19770601-CZDFSI02.pdf,3712,BAHRAIN,,Kingdom of Bahrain,05/20/2014,08/05/1985,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3712,Exhibit%20AB,BAHRAIN",DLA Piper US LLP
252A Lake Avenue,http://www.fara.gov/docs/6272-Exhibit-AB-20150401-2.pdf,6272,BANGLADESH,NY,"Organization for Peace and Justice, Inc.",04/01/2015,01/16/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6272,Exhibit%20AB,BANGLADESH","Cassidy & Associates, Inc."
Cecil V. Wallace-Whitfield Center,http://www.fara.gov/docs/2244-Exhibit-AB-19770601-CZDFSI02.pdf,2244,BAHAMAS,,Government of the Commonwealth of The Bahamas,05/30/2014,02/18/1971,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2244,Exhibit%20AB,BAHAMAS",Hogan Lovells US LLP
P.O. Box 547,http://www.fara.gov/docs/6272-Exhibit-AB-20150401-2.pdf,5839,BAHRAIN,,Ministry of Foreign Affairs Kingdom of Bahrain,05/26/2011,11/12/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5839,Exhibit%20AB,BAHRAIN","Sorini, Samet & Associates, LLC"
252A Lake Avenue,http://www.fara.gov/docs/6272-Exhibit-AB-20150401-2.pdf,6336,BANGLADESH,NY,Organization for Peace and Justice through Cassidy and Associates,01/14/2016,01/14/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6336,Exhibit%20AB,BANGLADESH","Cloakroom Advisors, LLC"
P.O. Box 10009,http://www.fara.gov/docs/5299-Exhibit-AB-20020919-H3RXC801.pdf,5299,BARBADOS,,Invest Barbados,02/13/2009,02/02/1999,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5299,Exhibit%20AB,BARBADOS","Berliner Corcoran & Rowe, LLP"
  ,http://www.fara.gov/docs/1995-Exhibit-AB-19661101-CZ9M0P03.pdf,1995,BARBADOS,,Barbados Industrial Development Corporation,11/05/1971,11/30/1966,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:1995,Exhibit%20AB,BARBADOS",Barbados Investment & Development Corp. Barbados Tourism
"3510 International Drive, NW",http://www.fara.gov/docs/5430-Exhibit-AB-20130923-46.pdf,5430,BANGLADESH,DC,"Government of the People's Republic of Bangladesh, Embassy",09/23/2013,05/10/2001,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5430,Exhibit%20AB,BANGLADESH","BGR Government Affairs, LLC"
Prime Minister's Office  P.O. Box 13292  Yaounda  ,http://www.fara.gov/docs/2165-Exhibit-AB-19940701-DBKP8703.pdf,2165,BELARUS,,Government of the Republic of Cameroon,08/17/2004,10/09/1969,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2165,Exhibit%20AB,CAMEROON","Squire Patton Boggs, LLP"
22 Church Street Hamilton HM 11  ,http://www.fara.gov/docs/6181-Exhibit-AB-20130808-1.pdf,430,BERMUDA,,Bermuda Tourism Authority,08/21/2014,01/30/1947,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:430,Exhibit%20AB,BERMUDA",Bermuda Tourism Authority
"Trg Republike Srpske 1 Banja Luka, Republika Srpska  ",http://www.fara.gov/docs/3971-Exhibit-AB-19880401-D1IBW002.pdf,6181,BOSNIA-HERZEGOVINA,,Government of Republika Srpska,08/08/2013,08/08/2013,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6181,Exhibit%20AB,BOSNIA-HERZEGOVINA","RS Office for Cooperation, Trade and Investment"
Hamilton  ,http://www.fara.gov/docs/6181-Exhibit-AB-20130808-1.pdf,3971,BERMUDA,,Government of Bermuda,07/25/1989,04/29/1987,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3971,Exhibit%20AB,BERMUDA",Levine & Company
Trg Republike Srpske 1,http://www.fara.gov/docs/5801-Exhibit-AB-20090316-6.pdf,6057,BOSNIA-HERZEGOVINA,,Government of Republika Srpska (including Zeljka Cvijanovic and Milorad Dodik),08/16/2011,08/16/2011,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6057,Exhibit%20AB,BOSNIA-HERZEGOVINA","Myrmidon Group, LLC"
Esplanada dos Ministerios,http://www.fara.gov/docs/5801-Exhibit-AB-20090316-6.pdf,5801,BRAZIL,,Social Communication Secretariat of the Office of the President of the Republic of Brazil,03/16/2009,04/16/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5801,Exhibit%20AB,BRAZIL","Fleishman-Hillard, Inc."
"Grasmarkt 61, B-1000",http://www.fara.gov/docs/2165-Exhibit-AB-19940701-DBKP8703.pdf,5840,BELGIUM,,Flanders Tourism Board,11/15/2007,11/15/2007,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5840,Exhibit%20AB,BELGIUM","Tourist Office for Flanders, Belgium - New York Office"
"100 Lives Limited, Trident Chambers",http://www.fara.gov/docs/3634-Exhibit-AB-20150108-43.pdf,3634,BRITISH VIRGIN ISLANDS,,100 Lives Limited,01/08/2015,11/15/1984,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3634,Exhibit%20AB,BRITISH%20VIRGIN%20ISLANDS","Daniel J. Edelman, Inc."
Trg Republike Srpse 1,http://www.fara.gov/docs/5801-Exhibit-AB-20090316-6.pdf,5939,BOSNIA-HERZEGOVINA,,Government of Republika Srpska,05/28/2009,05/28/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5939,Exhibit%20AB,BOSNIA-HERZEGOVINA","Picard Kentz & Rowe, LLP"
Esokabada Dis Nubusteruis Bloco A 6 Andar - Gabinete,http://www.fara.gov/docs/3354-Exhibit-AB-19820401-D0U9GM01.pdf,5992,BRAZIL,,Social Comunication Secretariat of the Office of the President of the Republic of Brazil,06/28/2010,06/28/2010,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5992,Exhibit%20AB,BRAZIL","CDN International, Inc."
Tortola  ,http://www.fara.gov/docs/3354-Exhibit-AB-19820401-D0U9GM01.pdf,3354,BRITISH VIRGIN ISLANDS,,British Virgin Islands Tourist Board,04/08/1982,04/08/1982,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3354,Exhibit%20AB,BRITISH%20VIRGIN%20ISLANDS",British Virgin Islands Tourist Board
Bujumbura  ,http://www.fara.gov/docs/6262-Exhibit-AB-20141111-1.pdf,6305,BURUNDI,,Republic of Burundi,07/20/2015,07/20/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6305,Exhibit%20AB,BURUNDI","Scribe Strategies & Advisors, Inc."
Tortola  ,http://www.fara.gov/docs/6262-Exhibit-AB-20141111-1.pdf,5166,BRITISH VIRGIN ISLANDS,,British Virgin Islands Government,03/26/1997,03/26/1997,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5166,Exhibit%20AB,BRITISH%20VIRGIN%20ISLANDS","Hyman, Lester S."
11 BP 852 CMS Ouagadougou 11  ,http://www.fara.gov/docs/6262-Exhibit-AB-20141111-1.pdf,6262,BURKINA FASO,,Government of Burkina Faso,11/11/2014,11/11/2014,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6262,Exhibit%20AB,BURKINA%20FASO","CD Global Strategies Group, LLC"
1 Fuxingmenwai Street,http://www.fara.gov/docs/6113-Exhibit-AB-20120706-1.pdf,6113,CANADA,,China Council for the Promotion of International Trade (CCPIT),07/06/2012,07/06/2012,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6113,Exhibit%20AB,CHINA","Representative Office in the USA, China Council for the Promotion of International Trade (CCPIT)"
800 Rene-Levesque Blvd. West,http://www.fara.gov/docs/3492-Exhibit-AB-19840201-D0UCUE01.pdf,3634,CANADA,,Bombardier Inc.,06/10/2010,11/15/1984,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3634,Exhibit%20AB,CANADA","Daniel J. Edelman, Inc."
Room 42  450 Broadway,http://www.fara.gov/docs/3492-Exhibit-AB-19840201-D0UCUE01.pdf,5767,CANADA,,Manitoba Intergovernmental Affairs and Trade,09/13/2006,09/13/2006,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5767,Exhibit%20AB,CANADA","Rude, Marianne Haslund"
"2118 Leroy Place, N.W.  ",http://www.fara.gov/docs/3492-Exhibit-AB-19840201-D0UCUE01.pdf,3492,CANADA,DC,Government of British Columbia,01/15/1998,06/24/1983,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3492,Exhibit%20AB,CANADA","Akin, Gump, Strauss, Hauer & Feld, LLP"
  ,http://www.fara.gov/docs/3492-Exhibit-AB-19840201-D0UCUE01.pdf,5213,CANADA,,Canadian Broadcasting Corporation,09/25/1997,09/25/1997,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5213,Exhibit%20AB,CANADA","Finkelstein Thompson, LLP"
Washington  ,http://www.fara.gov/docs/6113-Exhibit-AB-20120706-1.pdf,3047,CANADA,DC,"Government of Canada, Embassy",03/09/1989,08/09/1979,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3047,Exhibit%20AB,CANADA","Garvey, Schubert & Barer"
Government Administration Building Box 134 ,http://www.fara.gov/docs/5928-Exhibit-AB-20090410-1.pdf,6177,CAYMAN ISLANDS,,Cayman Islands Department of Tourism,09/26/2016,08/07/2013,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6177,Exhibit%20AB,CAYMAN%20ISLANDS","Coyne Public Relations, LLC"
1100 - 50 O'Connor Street,http://www.fara.gov/docs/5971-Exhibit-AB-20100111-3.pdf,5971,CANADA,,Canadian Commercial Corporation,01/11/2010,01/11/2010,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5971,Exhibit%20AB,CANADA","O'Brien Gentry & Scott, LLC"
Room 261 Legislative Building,http://www.fara.gov/docs/5928-Exhibit-AB-20090410-1.pdf,5928,CANADA,,Province of Saskatchewan,04/10/2009,04/10/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5928,Exhibit%20AB,CANADA","Nelson Mullins Riley & Scarborough, LLP"
  ,http://www.fara.gov/docs/5198-Exhibit-AB-20160902-38.pdf,2500,CAYMAN ISLANDS,,Government of the Cayman Islands,03/04/1974,03/04/1974,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2500,Exhibit%20AB,CAYMAN%20ISLANDS",Cayman Islands Department of Tourism
  ,http://www.fara.gov/docs/5198-Exhibit-AB-20160902-38.pdf,1787,CANADA,,Quebec Government,09/02/1964,09/02/1964,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:1787,Exhibit%20AB,CANADA",Quebec Government Office
"Av. Providencia 2088, Oficinia 20 Santiago  ",http://www.fara.gov/docs/5198-Exhibit-AB-20160902-38.pdf,4777,CHILE,,Turismo Chile,10/30/2014,03/12/1993,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4777,Exhibit%20AB,CHILE",Development Counsellors International
"Government Administration Building, Box 126",http://www.fara.gov/docs/5198-Exhibit-AB-20160902-38.pdf,5198,CAYMAN ISLANDS,,"Cayman Islands Ministry of Financial Services, Commerce & Environment",09/02/2016,07/31/1997,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5198,Exhibit%20AB,CAYMAN%20ISLANDS","Pillsbury Winthrop Shaw Pittman, LLP"
"3505 International Place, NW",http://www.fara.gov/docs/6274-Exhibit-AB-20150119-1.pdf,6274,CHINA,DC,People's Republic of China Embassy,01/19/2015,01/19/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6274,Exhibit%20AB,CHINA",Rogich Communications Group
  ,http://www.fara.gov/docs/6274-Exhibit-AB-20150119-1.pdf,6362,CHINA,,China Council for thr Promotion of International Trade (CCPIT),01/18/2017,06/22/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6362,Exhibit%20AB,CHINA","Husch Blackwell, LLP"
"Local 7, 2nd Floor, Immeuble Elembo, Boulevard du 30 juin",http://www.fara.gov/docs/6274-Exhibit-AB-20150119-1.pdf,5666,CHINA,,LN Communication,04/03/2015,01/31/2005,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5666,Exhibit%20AB,CONGO%20(KINSHASA)%20(ZAIRE)","Glover Park Group, LLC"
  ,http://www.fara.gov/docs/5875-Exhibit-AB-20100803-10.pdf,5875,CHINA,,China-United States Exchange Foundation,07/14/2011,06/17/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5875,Exhibit%20AB,CHINA",BLJ Worldwide LTD
  ,http://www.fara.gov/docs/5872-Exhibit-AB-20140130-9.pdf,5968,CHINA,,Ministry of Commerce of the People's Republic of China,12/23/2009,12/23/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5968,Exhibit%20AB,CHINA","DDB Worldwide Communications Group, Inc."
370 Lexington Avenue,http://www.fara.gov/docs/5875-Exhibit-AB-20100803-10.pdf,5872,CHINA,NY,China National Tourist Office,01/30/2014,06/30/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5872,Exhibit%20AB,CHINA","Spring O'Brien & Company, Inc."
3505 International Place NW,http://www.fara.gov/docs/5483-Exhibit-AB-20140210-39.pdf,5483,CHINA,DC,Embassy of the People's Republic of China,02/10/2014,03/06/2002,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5483,Exhibit%20AB,CHINA","MSLGROUP Americas, Inc."
Beijing  ,http://www.fara.gov/docs/3318-Exhibit-AB-19811201-D0SEUF01.pdf,3318,CHINA,,China National Tourism Administration (formerly: China International Travel Service),12/30/1981,12/30/1981,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3318,Exhibit%20AB,CHINA",China National Tourist Office
Beijing  ,http://www.fara.gov/docs/3457-Exhibit-AB-19830401-D0W49N01.pdf,3457,CHINA,,"China Daily of Beijing, China",04/19/1983,04/19/1983,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:3457,Exhibit%20AB,CHINA",China Daily Distribution Corporation
"1720 16th Street Ave, NW",http://www.fara.gov/docs/3457-Exhibit-AB-19830401-D0W49N01.pdf,6327,CONGO (BRAZZAVILLE),DC,Embassy of the Republic of Congo,11/13/2015,11/13/2015,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6327,Exhibit%20AB,CONGO%20(BRAZZAVILLE)","Courville Consultants, LLC"
Bogota  ,http://www.fara.gov/docs/3457-Exhibit-AB-19830401-D0W49N01.pdf,4909,COLOMBIA,,Federacion Nacional de Cafeteros de Colombia,04/06/1994,04/06/1994,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4909,Exhibit%20AB,COLOMBIA","Colombian Coffee Federation, Inc."
Presidencia de la Republica de Colombia,http://www.fara.gov/docs/3457-Exhibit-AB-19830401-D0W49N01.pdf,5867,COLOMBIA,,"Government of Colombia, Embassy",06/03/2008,06/03/2008,"https://efile.fara.gov/pls/apex/f?p=171:200:14002488364783::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5867,Exhibit%20AB,COLOMBIA",Fratelli Group
